Kab/kota,Provinsi,Kategori,Divaksin_1
Kab. Pringsewu,Lampung,1,4
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,6,189
Kab. Pringsewu,Lampung,6,26
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,6,2
Kab. Pringsewu,Lampung,6,60
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,1,11
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,6,3
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,163
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,3,8
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,3,3
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,133
Kab. Pringsewu,Lampung,6,58
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,3
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,57
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,3,1
Kab. Pringsewu,Lampung,3,1
Kab. Pringsewu,Lampung,3,3
Kab. Pringsewu,Lampung,4,5
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,4
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,123
Kab. Pringsewu,Lampung,1,13
Kab. Pringsewu,Lampung,1,0
Kab. Pringsewu,Lampung,1,0
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,34
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,24
Kab. Pringsewu,Lampung,1,43
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,24
Kab. Pringsewu,Lampung,3,2
Kab. Pringsewu,Lampung,3,0
Kab. Pringsewu,Lampung,3,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,5,0
Kab. Pringsewu,Lampung,4,5
Kab. Pringsewu,Lampung,4,18
Kab. Pringsewu,Lampung,4,21
Kab. Pringsewu,Lampung,4,22
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,4
Kab. Pringsewu,Lampung,4,11
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,4
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,7
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,16
